site_code,State
KG-S8,Tasmania
KG-S9,Tasmania
KNIFE REEF-1,Northeast
KNIFE REEF-2,Northeast
KNIFE REEF-3,Northeast
LADY MUSGRAVE REEF-1,Northeast
LADY MUSGRAVE REEF-2,Northeast
LADY MUSGRAVE REEF-3,Northeast
LANGFORD-BIRD REEF-1,Northeast
LANGFORD-BIRD REEF-2,Northeast
LANGFORD-BIRD REEF-3,Northeast
LHI1,Southeast
LHI10,Southeast
LHI11,Southeast
LHI13,Southeast
LHI14,Southeast
LHI15,Southeast
LHI16,Southeast
LHI17,Southeast
LHI18,Southeast
LHI19,Southeast
LHI2,Southeast
LHI21,Southeast
LHI22,Southeast
LHI23,Southeast
LHI24,Southeast
LHI26,Southeast
LHI27,Southeast
LHI28,Southeast
LHI3,Southeast
LHI30,Southeast
LHI31,Southeast
LHI32,Southeast
LHI33,Southeast
LHI34,Southeast
LHI35,Southeast
LHI36,Southeast
LHI37,Southeast
LHI38,Southeast
LHI39,Southeast
LHI4,Southeast
LHI40,Southeast
LHI41,Southeast
LHI43,Southeast
LHI45,Southeast
LHI46,Southeast
LHI47,Southeast
LHI48,Southeast
LHI49,Southeast
LHI5,Southeast
LHI50,Southeast
LHI7,Southeast
LHI9,Southeast
LINNET REEF-1,Northeast
LINNET REEF-2,Northeast
LINNET REEF-3,Northeast
LITTLE KELSO REEF-1,Northeast
LITTLE KELSO REEF-2,Northeast
LITTLE KELSO REEF-3,Northeast
LIZARD ISLAND-1,Northeast
LIZARD ISLAND-2,Northeast
LIZARD ISLAND-3,Northeast
LOW ISLANDS REEF-1,Northeast
LOW ISLANDS REEF-2,Northeast
LOW ISLANDS REEF-3,Northeast
LYNCHS REEF-1,Northeast
LYNCHS REEF-2,Northeast
LYNCHS REEF-3,Northeast
MACGILLIVRAY REEF-1,Northeast
MACGILLIVRAY REEF-2,Northeast
MACGILLIVRAY REEF-3,Northeast
MACKAY REEF-1,Northeast
MACKAY REEF-2,Northeast
MACKAY REEF-3,Northeast
MARTIN REEF(14123)-1,Northeast
MARTIN REEF(14123)-2,Northeast
MARTIN REEF(14123)-3,Northeast
MAST HEAD REEF-1,Northeast
MAST HEAD REEF-2,Northeast
MAST HEAD REEF-3,Northeast
