SPECIES_NAME,Family,Class,Taxon,Diet,Diet2,Slope,N,Spearman,Sig,Direction,Change,Max depth,Max depth,Max Length,Max Length,Max Length,Commercially exploited,N site,Lat Span degrees,endemism,Mobility,SiteLat,SiteLong,T Mean,T Mean,Biogeog,Chl mean,Count of 1450 sites,"Province 142 TI 147 prom 118 albany, temp <16 >21 oC chlorophyll >0.6",Biogeog2
Chaetodon melannotus,Chaetodontidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.012185905,1876,-0.285714286,,,0.853434347,20,2.995732274,18,2.890371758,3,n,1.888862289,22,non-endemic,demersal,-20.12708717,149.2243566,25.86058063,25.8,tropical,0.511645162,360,IWP,tropical
Scarus spinus,Labridae,Actinopterygii,Vertebrate,Scraping herbivore,Herbivore,-0.035528786,1859,-0.747252747,**,down,0.708874079,25,3.218875825,30,3.401197382,3,n,1.542445763,14,non-endemic,demersal,-18.70199196,147.5671397,26.5016176,26.6,tropical,0.579882355,275,IWP,tropical
Ophthalmolepis lineolatus,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.013944044,1844,-0.159340659,,,1.175958023,30,3.401197382,41,3.713572067,4,n,15.17241906,13,endemic,demersal,-34.42248432,141.3368448,18.49317472,18.4,temperate,1.031825391,370,SW,warm
Chromis margaritifer,Pomacentridae,Actinopterygii,Vertebrate,Planktivore,Invertivore,0.024295041,1842,0.741758242,**,up,1.220239648,26,3.258096538,9,2.197224577,2,n,105.5287323,25,non-endemic,demersal,-18.99055382,144.2883765,25.96951202,26,tropical,0.470112003,416,IWP,tropical
Notolabrus fucicola,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.016533056,1834,-0.56043956,*,down,0.852249473,90,4.49980967,40,3.688879454,4,y,8.672039318,10,non-endemic,demersal,-40.67673797,146.9273195,15.47314072,15.4,temperate,1.195312495,315,S,cool
Chaetodon citrinellus,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,0.006800975,1832,0.445054945,,,1.04156775,36,3.583518938,13,2.564949357,3,n,3.290962446,24,non-endemic,demersal,-19.67425035,146.0161744,25.88247419,25.8,tropical,0.469629313,375,IWP,tropical
Pomacentrus brachialis,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.035180655,1825,-0.456043956,,,0.7380108,40,3.688879454,8,2.079441542,2,n,108.5029731,14,non-endemic,demersal,-17.93735252,148.084202,26.16656333,26.2,tropical,0.611676057,302,N,tropical
Chaetodon trifascialis,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,0.002405529,1798,0.225274725,,,0.985762734,30,3.401197382,18,2.890371758,3,n,3.606052893,25,non-endemic,demersal,-20.12925491,143.316575,25.93580834,26,tropical,0.501450003,458,IWP,tropical
Pomacentrus amboinensis,Pomacentridae,Actinopterygii,Vertebrate,Omnivore,Herbivore,-0.026744467,1795,-0.5,,,0.794435388,40,3.688879454,9,2.197224577,2,n,51.91920027,20,non-endemic,demersal,-17.69107221,146.1110499,26.37956838,26.4,tropical,0.583705264,353,IWP,tropical
Dicathais orbita,Muricidae,Gastropoda,Invertebrate,Benthic invertivore,Invertivore,0.036664757,1792,0.21978022,,,1.538148959,10,2.302585093,7.5,2.014903021,2,n,17.42206877,16,non-endemic,benthic,-36.75885211,141.2998806,17.15753517,17.2,temperate,1.0505614,583,S,cool
Acanthaluteres vittiger,Monacanthidae,Actinopterygii,Vertebrate,Omnivore,Herbivore,0.036892539,1784,0.043956044,,,1.141782016,40,3.688879454,35,3.555348061,4,n,4.315792216,14,endemic,demersal,-38.21303014,144.9651541,16.76712638,16.8,temperate,1.141505259,415,S,cool
Pempheris multiradiata,Pempherididae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,0.028922725,1771,-0.60989011,*,down,1.374603416,30,3.401197382,28,3.33220451,3,n,19.57738313,14,endemic,demersal,-36.82604912,140.5959205,17.07204908,17,temperate,1.116235289,487,S,cool
